Country,Year,Central Govt Debt (Percentage of GDP),General Govt Debt (Percentage of GDP),Grant,Loan,Vague,Commercial,Development,Mixed,Representational,ACTION RELATING TO DEBT,"AGRICULTURE, FORESTRY, FISHING",BANKING AND FINANCIAL SERVICES,BUSINESS AND OTHER SERVICES,COMMUNICATIONS,DEVELOPMENTAL FOOD AID/FOOD SECURITY ASSISTANCE,DISASTER PREVENTION AND PREPAREDNESS,EDUCATION,EMERGENCY RESPONSE,ENERGY,GENERAL BUDGET SUPPORT,GENERAL ENVIRONMENTAL PROTECTION,GOVERNMENT AND CIVIL SOCIETY,HEALTH,"INDUSTRY, MINING, CONSTRUCTION",OTHER COMMODITY ASSISTANCE,OTHER MULTISECTOR,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,RECONSTRUCTION RELIEF AND REHABILITATION,TRADE POLICIES AND REGULATIONS,TRANSPORT AND STORAGE,UNALLOCATED/UNSPECIFIED,WATER SUPPLY AND SANITATION,No,Yes,Adjusted Amount (Nominal USD)
UA,2006,14.80032509,14.80060219,2.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,2.0,,158101882.0
GB,2006,41.09565417,42.03554093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2006,44.82746316,64.17806682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UY,2006,57.33814198,,2.0,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,130433129.0
VU,2006,22.16165066,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,568743020.0
VE,2006,24.07,25.65818301,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,82350000000.0
VN,2006,26.78075871,30.24826465,1.0,8.0,,,4.0,5.0,,,,,,,,,,,3.0,,,,,6.0,,,,,,,,,,9.0,,100427402705.0
PS,2006,19.25249979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YE,2006,40.84237166,40.84237166,1.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,2.0,,3240001875.0
ZM,2006,25.00552767,,4.0,2.0,,1.0,4.0,1.0,,,,,,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,6.0,,4902279999.0
ZW,2006,39.43693613,,3.0,1.0,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,4.0,,21064271901.0
AF,2007,20.13663136,,4.0,,,,4.0,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,4.0,,1272271320.0
AL,2007,53.55012424,53.55030323,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1380000.0
DZ,2007,13.50594327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,2007,21.04349445,,1.0,10.0,,,3.0,8.0,,,,,,4.0,,,3.0,,,,,,2.0,,,,,,,,2.0,,,11.0,,50368668304.0
AG,2007,77.78401605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,2007,62.13271077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,2007,14.24950348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,2007,6.067626988,9.671217464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,2007,51.89697793,64.7404975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,2007,4.003317909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,2007,22.99084159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH,2007,16.34489591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,2007,34.98867407,,3.0,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,232937966.0
BB,2007,77.89938434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2007,11.10277725,15.8131825,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,3.0,,22126952335.0
BE,2007,77.20382167,87.32462407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BZ,2007,66.83744437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ,2007,14.28590371,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,362449332.0
BT,2007,72.3472121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO,2007,37.11335081,,2.0,,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,255000000.0
BA,2007,18.70922554,18.70922554,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,12543313.0
BW,2007,6.122672874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,2007,62.45168475,63.02465919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN,2007,0.684502278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,2007,23.11821303,24.19093147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF,2007,22.41608794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI,2007,129.6132456,,6.0,,,,6.0,,,1.0,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,6.0,,3009401119.0
CV,2007,64.98095763,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1973949849.0
CM,2007,13.80440374,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,13353805.0
CA,2007,29.90426968,67.18147942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF,2007,47.85079642,,6.0,,,,6.0,,,1.0,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,6.0,,2324816078.0
TD,2007,22.06953314,,2.0,2.0,,,3.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,4.0,,18063898765.0
CL,2007,3.901260343,3.901260294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,2007,27.21982085,32.66325122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM,2007,35.61557117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,2007,93.75744544,,1.0,3.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,,19735828219.0
CR,2007,26.97525717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR,2007,36.32421963,38.18792413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY,2007,84.88079262,54.03306399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,2007,25.17164641,27.32540439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,2007,53.53253768,,3.0,,,,3.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,2665912461.0
DK,2007,27.06864208,27.34595243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ,2007,56.68460726,,3.0,,,,3.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,3.0,,727657038.0
DM,2007,74.90017439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO,2007,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,2007,25.19419735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG,2007,,76.26755743,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,362453433.0
SV,2007,41.49678654,46.26331568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ,2007,0.75386536,,2.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,1732865320.0
ER,2007,201.2797722,,3.0,1.0,,,4.0,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,4.0,,3472608765.0
EE,2007,1.402325299,3.764938575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,2007,16.11945258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJ,2007,46.0426157,,4.0,,,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,4.0,,222415687.0
FI,2007,32.45328002,33.90400007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR,2007,51.18576668,64.53723163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2007,39.23709944,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,6573571.0
GM,2007,38.02286101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,2007,39.52347423,64.1583085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH,2007,22.54859722,,3.0,2.0,,,4.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,5.0,,13765086626.0
GR,2007,103.7411369,103.9799421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,2007,89.05623532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT,2007,20.99506887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,2007,60.80009561,,3.0,,,,3.0,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,3.0,,4880912609.0
GW,2007,163.9703178,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,400000000.0
GY,2007,46.99265067,,2.0,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,1417998928.0
HT,2007,30.19151154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN,2007,17.1562954,17.00679176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK,2007,4.179903026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HU,2007,62.64173294,65.05827581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,2007,67.47818237,68.40431392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,2007,47.43538396,74.11714964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2007,32.33356606,38.12093951,5.0,4.0,,,7.0,2.0,,,,,,,,,,2.0,3.0,,,1.0,2.0,,,,,,,,1.0,,,9.0,,98188198128.0
IR,2007,16.06229016,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,71060000000.0
IQ,2007,117.0848288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE,2007,26.45706722,23.94230476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,2007,69.21260936,70.93723755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2007,97.8170252,103.8895365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM,2007,100.9851804,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1358691600.0
JP,2007,135.4498586,172.9503523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JO,2007,64.25203476,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,250866258.0
KZ,2007,5.322001371,4.091989933,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,59000000000.0
KE,2007,34.19451627,,2.0,1.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,3.0,,6177836244.0
KI,2007,9.925296301,9.925296301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR,2007,26.5312067,27.43075318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW,2007,7.047160111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KG,2007,57.743779,57.743779,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,90000000.0
LA,2007,55.92979022,,3.0,2.0,,,4.0,1.0,,,,,,1.0,,,,,1.0,,,,2.0,,,,1.0,,,,,,,5.0,,19947573571.0
LV,2007,6.466783851,7.202256109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB,2007,169.300635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS,2007,44.29437606,,2.0,1.0,,,3.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,1902649964.0
LR,2007,393.7799629,,4.0,,,,4.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,4.0,,1189618461.0
LY,2007,4.0953481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,2007,14.99346806,15.88932588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU,2007,1.413314914,8.099729026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,2007,28.21023076,,2.0,1.0,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,5349980077.0
MW,2007,18.9477625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MY,2007,38.27208678,39.34831413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV,2007,35.82367008,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,481250000.0
ML,2007,18.53452697,,3.0,,,,3.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,3.0,,4549037988.0
MT,2007,56.96035677,61.90722827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR,2007,61.49962075,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5700000000.0
MX,2007,20.47424724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,2007,23.19520776,28.27624633,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,82120010.0
MN,2007,36.51969874,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,420000000.0
ME,2007,27.41409111,31.75750652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,2007,47.06596076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,2007,32.25658325,,3.0,,,,3.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,4618352383.0
MM,2007,74.64607826,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,2.0,,16125329763.0
NA,2007,19.36414341,,3.0,2.0,,,5.0,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,1.0,,,5.0,,4120344643.0
NP,2007,37.89020209,,4.0,,,,4.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,4.0,,3390182042.0
NZ,2007,16.3071712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,2007,30.91601851,30.91601851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,2007,17.83029464,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,32867854.0
NG,2007,8.116330906,,2.0,,,,2.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,,57340721.0
MK,2007,22.88082932,23.53159519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,2007,11.24273041,49.51507813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OM,2007,4.440363213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,2007,47.08248352,,5.0,,,,5.0,,,,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,5.0,,558135522.0
PG,2007,22.15664227,,5.0,,,,5.0,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,5.0,,681167806.0
PY,2007,11.7894338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,2007,25.78004523,29.57498584,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,30000000.0
PL,2007,42.23390476,44.49940173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT,2007,70.2220267,72.72796173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,2007,9.365215074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,2007,13.01288657,11.9491575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU,2007,6.74505495,8.032695583,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1700000000.0
RW,2007,22.10786607,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3200000000.0
KN,2007,92.82157178,133.995905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,2007,49.06391804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VC,2007,37.49913713,48.42449158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WS,2007,31.46614399,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,2.0,,2026930060.0
SM,2007,12.62779374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,2007,17.11542261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,2007,18.96278186,,1.0,2.0,,,3.0,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,3.0,,13754821403.0
RS,2007,27.86804209,31.20431739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,2007,143.9971822,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,379258425.0
SL,2007,42.16563329,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,6898822.0
SG,2007,89.44710184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK,2007,34.76494859,30.34542156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,2007,21.08560024,22.84801916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB,2007,33.0191519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZA,2007,24.32598627,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,3.0,,251839704286.0
SS,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,2007,29.64737587,35.76457534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LK,2007,71.84873866,,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,45298242800.0
SD,2007,53.69193747,,6.0,5.0,,,8.0,3.0,,,1.0,,,,,,,4.0,1.0,,,,1.0,,,,1.0,,,,3.0,,,11.0,,16702921619.0
SR,2007,16.41849508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE,2007,42.84285834,38.97691699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2007,19.50952631,44.77485794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,2007,42.67188358,,,2.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,2.0,,2760032435.0
ST,2007,103.8084429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW,2007,27.8226511,32.15654512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH,2007,22.60400145,22.89920189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL,2007,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,688009603.0
TG,2007,73.80171891,,3.0,,,,3.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,3.0,,2717427229.0
TO,2007,37.81587039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT,2007,16.22990974,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,10185170057.0
TN,2007,42.70438163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM,2007,4.094394645,4.094394645,,2.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,30000000000.0
TV,2007,32.39796393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR,2007,37.60916715,37.75876481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,2007,16.97557317,,7.0,1.0,,,8.0,,,1.0,1.0,,,2.0,,,,1.0,,,,,2.0,,,,,,,1.0,,,,8.0,,5666720526.0
UA,2007,12.26663828,12.26663711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,2007,42.16304652,43.14163872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2007,45.16841978,64.56661312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UY,2007,48.81969076,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,5000000.0
VU,2007,19.48126583,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,795885660.0
VE,2007,19.15,26.36441459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VN,2007,26.45436819,32.20952244,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,74101300000.0
PS,2007,23.71750492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YE,2007,40.40790584,40.40790584,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,8933512091.0
ZM,2007,21.92153341,,2.0,,,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,1145654169.0
ZW,2007,44.66965925,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,24000221585.0
AF,2008,19.05707572,,3.0,,,,3.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,3.0,,2176394386.0
AL,2008,55.14021079,55.13980555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,2008,8.056428025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,2008,31.37823243,,1.0,4.0,,,1.0,4.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,5.0,,261355730196.0
AG,2008,75.98919769,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,4316478645.0
AR,2008,53.81385162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,2008,14.63183489,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,187047408.0
AU,2008,7.599198559,11.74252697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,2008,55.1368302,68.41735773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,2008,3.220765186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,2008,25.45550498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH,2008,12.56276698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,2008,33.86993323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB,2008,81.99216493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2008,12.4965127,20.29502961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,2008,82.73848446,93.16004344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BZ,2008,65.01732019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ,2008,18.30665552,,3.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,2977105438.0
BT,2008,65.02111727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO,2008,33.94436191,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,30000000.0
BA,2008,30.88539871,30.88539871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW,2008,7.772041173,,2.0,,,,2.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,,157765698.0
BR,2008,60.65601612,61.42007777,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,75000000000.0
BN,2008,0.942399529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,2008,17.66695,18.78659453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF,2008,24.86787102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI,2008,102.5152332,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,215823932.0
CV,2008,63.01368818,,1.0,1.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,101837487.0
CM,2008,11.15302266,,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,2553547997.0
CA,2008,36.24677965,70.43923476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF,2008,35.76599444,,3.0,,,,3.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,3.0,,576172753.0
TD,2008,20.09864525,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,40000000000.0
CL,2008,4.915988582,4.915989057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,2008,27.19522008,32.38241907,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,30000000.0
KM,2008,33.21703212,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,100717835.0
CG,2008,69.5980215,,2.0,10.0,,,11.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,8.0,,1.0,12.0,,70486490298.0
CR,2008,24.00712912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR,2008,38.19182768,39.93995868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY,2008,77.32408888,45.54909099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,2008,25.95340922,28.11806493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,2008,51.23984571,,3.0,,,,3.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,3.0,,156426869.0
DK,2008,31.23010652,33.31318312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ,2008,59.30878923,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,24757907.0
DM,2008,66.52739199,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,10000000.0
DO,2008,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,2008,20.57668038,,2.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,819914238.0
